t0,t1,dt,Measured_Angle_X,Measured_Angle_Y,Acceleration_Z,Angular_Velocity_X,Angular_Velocity_Y,Altitude,Kalman_Angle_X,Kalman_Angle_Y,Open_X,Open_Y
6917.00,6995.00,78.00,0.19,0.38,9.72,0.07,0.05,0.00,0.03,0.24,0.00,0.00
6995.00,7071.00,76.00,0.19,0.15,9.76,-0.01,0.05,0.00,0.05,0.23,0.00,0.00
7071.00,7148.00,77.00,-0.26,0.15,9.80,0.18,0.06,0.00,0.03,0.22,0.00,0.00
7148.00,7224.00,76.00,0.19,0.60,9.72,0.07,0.12,0.00,0.05,0.27,0.00,0.00
7224.00,7305.00,81.00,-0.04,0.15,9.76,-0.02,-0.00,0.00,0.04,0.26,0.00,0.00
7305.00,7380.00,75.00,-0.04,0.60,9.76,-0.05,0.04,0.00,0.03,0.30,0.00,0.00
7380.00,7458.00,78.00,-0.26,0.15,9.80,-0.12,-0.01,0.00,-0.02,0.28,0.00,0.00
7458.00,7538.00,80.00,0.19,0.15,9.91,0.11,-0.04,0.00,0.01,0.26,0.00,0.00
7538.00,7615.00,77.00,-0.04,0.15,9.80,-0.08,-0.03,0.00,-0.00,0.25,0.00,0.00
7615.00,7695.00,80.00,0.19,0.38,9.84,0.04,-0.03,0.00,0.02,0.26,0.00,0.00
7695.00,7772.00,77.00,-0.49,-0.08,9.84,-0.11,0.01,0.00,-0.05,0.22,0.00,0.00
7772.00,7856.00,84.00,-0.26,-0.08,9.84,0.06,-0.07,0.00,-0.07,0.17,0.00,0.00
7856.00,7932.00,76.00,0.19,0.15,9.72,-0.15,-0.11,0.00,-0.06,0.16,0.00,0.00
7932.00,8011.00,79.00,-0.04,0.15,9.84,0.03,-0.07,0.00,-0.06,0.15,0.00,0.00
8011.00,8091.00,80.00,-0.72,0.15,9.76,-0.02,0.02,0.00,-0.14,0.14,0.00,0.00
8091.00,8170.00,79.00,-0.04,0.38,9.87,-0.05,-0.09,0.00,-0.14,0.16,0.00,0.00
8170.00,8249.00,79.00,0.19,0.60,9.87,0.38,-0.35,0.00,-0.08,0.19,0.00,0.00
8249.00,8327.00,78.00,-0.72,0.60,9.87,0.53,-0.50,0.00,-0.13,0.20,0.00,0.00
8327.00,8410.00,83.00,-0.49,0.38,9.80,1.18,-1.04,0.00,-0.09,0.15,1.00,0.00
8410.00,8486.00,76.00,2.94,-0.08,10.11,1.62,-1.53,0.00,0.37,0.02,1.00,-1.00
8486.00,8566.00,80.00,-0.95,-0.08,9.87,1.40,-1.35,0.00,0.32,-0.08,1.00,-1.00
8566.00,8647.00,81.00,0.19,0.38,9.95,1.32,-1.28,0.00,0.39,-0.11,1.00,-1.00
8647.00,8726.00,79.00,0.65,-0.08,9.87,1.26,-1.10,0.00,0.51,-0.18,1.00,-1.00
8726.00,8805.00,79.00,1.80,-1.23,9.80,0.63,-0.48,0.00,0.71,-0.33,1.00,0.00
8805.00,8889.00,84.00,1.80,-0.77,9.87,-0.19,0.15,0.00,0.83,-0.38,0.00,0.00
8889.00,8964.00,75.00,4.55,4.04,8.78,-1.34,1.18,0.00,1.20,0.24,0.00,1.00
8964.00,9041.00,77.00,1.34,-1.46,9.84,-2.36,2.06,0.00,1.09,0.19,-1.00,1.00
9041.00,9120.00,79.00,-0.04,0.83,9.76,-3.06,3.01,0.00,0.78,0.49,-1.00,1.00
9120.00,9199.00,79.00,0.65,-0.08,9.84,-2.83,3.45,0.00,0.59,0.68,-1.00,1.00
9199.00,9278.00,79.00,-2.10,0.38,9.80,-2.88,3.78,0.00,0.10,0.91,-1.00,1.00
9278.00,9357.00,79.00,-0.49,0.83,9.87,-1.48,3.72,0.00,-0.06,1.17,-1.00,1.00
9357.00,9441.00,84.00,-3.24,1.29,9.76,-0.95,3.37,0.00,-0.51,1.44,-1.00,1.00
9441.00,9517.00,76.00,-0.49,2.67,9.87,0.14,2.95,0.00,-0.50,1.79,0.00,1.00
9517.00,9595.00,78.00,5.24,1.98,9.76,0.71,2.26,0.00,0.24,1.97,0.00,1.00
9595.00,9671.00,76.00,-1.41,2.21,9.80,1.32,2.37,0.00,0.15,2.17,1.00,1.00
9671.00,9748.00,77.00,1.57,1.75,9.91,1.28,1.75,0.00,0.43,2.25,1.00,1.00
9748.00,9824.00,76.00,-1.18,2.90,9.91,1.17,1.45,0.00,0.33,2.43,1.00,1.00
9824.00,9901.00,77.00,1.34,3.36,9.72,1.14,0.79,0.00,0.55,2.60,1.00,1.00
9901.00,9981.00,80.00,-0.49,2.44,9.84,-0.11,0.25,0.00,0.43,2.61,0.00,1.00
