t0,t1,dt,Measured_Angle_X,Measured_Angle_Y,Acceleration_Z,Angular_Velocity_X,Angular_Velocity_Y,Altitude,Kalman_Angle_X,Kalman_Angle_Y,Open_X,Open_Y
4334.00,4420.00,86.00,-2.46,-5.35,10.14,-12.45,0.33,0.00,-3.00,-3.35,-1.00,-1.00
4420.00,4505.00,85.00,-1.31,-4.20,9.98,9.75,12.61,0.00,-2.20,-2.51,1.00,1.00
4505.00,4586.00,81.00,-3.15,0.61,9.16,-7.32,14.57,0.00,-2.97,-1.10,-1.00,1.00
4586.00,4685.00,99.00,-1.54,-3.28,10.10,-9.09,5.37,0.00,-3.73,-0.91,-1.00,1.00
4685.00,4752.00,67.00,-2.23,2.22,9.47,-31.63,20.57,0.00,-5.49,0.68,-1.00,1.00
4752.00,4834.00,82.00,-2.92,1.30,10.14,-41.94,60.94,0.00,-8.27,5.13,-1.00,1.00
4834.00,4917.00,83.00,-8.21,7.05,8.65,-70.03,66.17,0.00,-13.41,10.15,-1.00,1.00
4917.00,5001.00,84.00,-10.77,11.92,8.76,-15.39,-19.95,0.00,-14.23,8.85,-1.00,-1.00
5001.00,5089.00,88.00,-6.60,4.74,9.31,103.37,-92.56,0.00,-5.31,1.19,1.00,-1.00
5089.00,5188.00,99.00,6.95,-4.66,9.47,119.68,-74.44,0.00,6.59,-5.99,1.00,-1.00
5188.00,5255.00,67.00,13.24,-11.38,10.14,98.43,-27.35,0.00,13.19,-8.26,1.00,-1.00
5255.00,5342.00,87.00,18.96,-9.74,9.47,36.98,39.76,0.00,16.73,-5.44,1.00,1.00
5342.00,5424.00,82.00,20.18,-4.20,9.55,12.91,56.48,0.00,18.10,-1.28,1.00,1.00
5424.00,5505.00,81.00,20.18,0.38,9.51,-1.07,39.68,0.00,18.32,1.67,1.00,1.00
5505.00,5585.00,80.00,20.91,4.05,9.47,-18.55,31.75,0.00,17.38,4.12,-1.00,1.00
5585.00,5667.00,82.00,27.45,14.75,9.43,-43.51,51.23,0.00,15.58,9.05,-1.00,1.00
5667.00,5768.00,101.00,15.60,13.57,9.23,-37.84,56.98,0.00,12.43,14.60,-1.00,1.00
5768.00,5836.00,68.00,10.66,17.13,9.08,-23.24,46.19,0.00,10.97,17.63,-1.00,1.00
5836.00,5920.00,84.00,8.11,20.52,8.92,-30.23,50.59,0.00,8.57,21.66,-1.00,1.00
5920.00,6002.00,82.00,5.11,25.00,8.72,-44.97,42.19,0.00,5.07,25.05,-1.00,1.00
6002.00,6085.00,83.00,1.67,28.59,8.65,-68.66,12.50,0.00,-0.17,26.35,-1.00,1.00
6085.00,6168.00,83.00,-4.07,26.78,8.45,-94.17,-34.66,0.00,-7.31,23.84,-1.00,-1.00
6168.00,6271.00,103.00,-11.70,22.00,8.61,-88.33,-61.54,0.00,-15.55,18.06,-1.00,-1.00
6271.00,6344.00,73.00,-18.35,18.58,8.21,-81.34,-57.18,0.00,-20.89,14.49,-1.00,-1.00
6344.00,6432.00,88.00,-24.51,11.46,8.45,-67.01,-63.16,0.00,-26.23,9.29,-1.00,-1.00
6432.00,6519.00,87.00,-29.13,5.66,8.18,-42.69,-69.46,0.00,-29.56,3.61,-1.00,-1.00
6519.00,6606.00,87.00,-29.39,-1.68,7.98,-13.61,-79.92,0.00,-30.30,-3.06,-1.00,-1.00
6606.00,6694.00,88.00,-30.98,-10.44,8.06,19.33,-67.81,0.00,-28.61,-9.12,-1.00,-1.00
6694.00,6800.00,106.00,-30.18,-16.33,7.90,17.42,-51.63,0.00,-26.89,-14.74,-1.00,-1.00
6800.00,6874.00,74.00,-28.87,-20.93,7.74,7.61,-47.55,0.00,-26.45,-18.55,-1.00,-1.00
6874.00,6962.00,88.00,-26.79,-23.15,7.27,3.30,-50.96,0.00,-26.02,-23.01,-1.00,-1.00
6962.00,7050.00,88.00,-24.25,-29.81,7.31,29.23,-46.43,0.00,-23.33,-27.40,1.00,-1.00
7050.00,7139.00,89.00,-16.19,-34.97,7.19,52.38,-27.95,0.00,-18.13,-30.53,1.00,-1.00
7139.00,7227.00,88.00,-12.17,-38.69,7.51,65.01,-5.36,0.00,-12.15,-32.01,1.00,-1.00
7227.00,7324.00,97.00,-5.91,-39.57,7.39,52.12,5.23,0.00,-6.69,-32.63,1.00,-1.00
7324.00,7398.00,74.00,-0.17,-38.98,7.55,41.12,3.25,0.00,-3.00,-33.34,1.00,-1.00
7398.00,7483.00,85.00,5.57,-37.81,7.74,44.59,-0.09,0.00,1.65,-34.08,1.00,-1.00
7483.00,7566.00,83.00,10.43,-36.95,7.86,44.32,19.53,0.00,6.25,-33.21,1.00,-1.00
7566.00,7650.00,84.00,16.32,-33.86,7.98,44.01,38.90,0.00,11.06,-30.65,1.00,1.00
7650.00,7734.00,84.00,21.16,-28.24,8.14,35.28,49.84,0.00,15.28,-26.92,1.00,1.00
7734.00,7829.00,95.00,27.45,-23.15,8.06,33.82,50.99,0.00,20.08,-22.48,1.00,1.00
7829.00,7903.00,74.00,31.93,-16.33,8.14,37.40,51.81,0.00,24.38,-18.57,1.00,1.00
7903.00,7987.00,84.00,36.08,-9.98,7.78,43.03,67.77,0.00,29.51,-12.74,1.00,1.00
7987.00,8070.00,83.00,38.97,-4.89,7.35,35.78,53.13,0.00,33.83,-8.10,1.00,1.00
8070.00,8152.00,82.00,44.82,-0.07,7.23,45.83,38.58,0.00,39.06,-4.51,1.00,1.00
8152.00,8234.00,82.00,45.47,3.36,6.88,28.43,40.58,0.00,42.51,-0.76,1.00,1.00
8234.00,8315.00,81.00,48.84,8.43,6.33,19.53,57.43,0.00,45.30,4.34,1.00,1.00
8315.00,8405.00,90.00,51.34,10.99,6.21,0.85,56.11,0.00,46.84,9.49,1.00,1.00
8405.00,8475.00,70.00,52.45,13.81,6.72,-4.81,48.41,0.00,47.82,12.92,1.00,1.00
8475.00,8558.00,83.00,49.54,19.06,6.88,-47.87,46.60,0.00,45.28,16.99,-1.00,1.00
8558.00,8642.00,84.00,44.82,27.29,6.76,-70.76,53.53,0.00,40.78,22.15,-1.00,1.00
8642.00,8726.00,84.00,29.53,30.43,7.12,-65.07,48.96,0.00,35.38,26.75,-1.00,1.00
8726.00,8811.00,85.00,25.91,35.06,7.00,-37.07,46.98,0.00,32.19,31.28,-1.00,1.00
8811.00,8899.00,88.00,21.65,40.28,6.33,-55.64,33.53,0.00,27.32,35.02,-1.00,1.00
8899.00,8979.00,80.00,16.08,43.04,6.84,-85.41,9.15,0.00,20.56,36.73,-1.00,1.00
8979.00,9062.00,83.00,7.88,40.88,7.23,-130.47,-35.10,0.00,10.12,34.81,-1.00,0.00
9062.00,9148.00,86.00,-1.08,39.38,7.51,-119.57,-27.96,0.00,0.35,33.44,-1.00,1.00
9148.00,9233.00,85.00,-9.37,37.05,7.08,-127.73,-40.81,0.00,-9.76,31.06,-1.00,-1.00
9233.00,9320.00,87.00,-20.29,30.43,6.80,-126.57,-54.75,0.00,-20.08,27.07,-1.00,-1.00
9320.00,9414.00,94.00,-28.34,25.00,6.45,-119.37,-81.56,0.00,-30.25,20.41,-1.00,-1.00
9414.00,9499.00,85.00,-36.78,16.65,5.98,-97.56,-94.39,0.00,-37.69,13.23,-1.00,-1.00
9499.00,9587.00,88.00,-46.94,5.43,5.94,-59.50,-86.69,0.00,-42.79,5.92,-1.00,-1.00
9587.00,9674.00,87.00,-53.00,-1.68,5.51,-43.84,-79.61,0.00,-46.82,-0.77,-1.00,-1.00
9674.00,9762.00,88.00,-57.85,-6.27,5.12,-25.24,-66.10,0.00,-49.61,-6.22,-1.00,-1.00
9762.00,9850.00,88.00,-59.16,-13.49,5.15,22.27,-56.42,0.00,-48.63,-11.16,-1.00,-1.00
9850.00,9944.00,94.00,-49.35,-18.98,5.74,73.57,-45.44,0.00,-42.25,-15.56,1.00,-1.00
